Reference_Actors
", Mark Addy, , Alfie Allen, , Sean Bean, , Esmé Bianco, , Jamie Campbell Bower, , Nikolaj Coster-Waldau, , Peter Dinklage, , Jennifer Ehle, , Jack Gleeson, , Iain Glen, , Kit Harington, , Lena Headey, , Isaac Hempstead Wright, , Harry Lloyd, , Richard Madden, , George R.R. Martin, , Rory McCann, , Ian McNeice"
", Peter Dinklage, , Lena Headey, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Liam Cunningham, , Alfie Allen, , Maisie Williams, , Stephen Dillane, , Carice van Houten, , Jerome Flynn, , Conleth Hill, , John Bradley, , Sibel Kekilli, , Julian Glover, , Robert Pugh, , Patrick Malahide"
", Peter Dinklage, , Lena Headey, , Michelle Fairley, , Aidan Gillen, , Kit Harington, , Alfie Allen, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , John Bradley, , Natalie Dormer, , James Cosmo, , Jerome Flynn, , Conleth Hill, , Sibel Kekilli, , Donald Sumpter, , Ron Donachie, , Julian Glover"
", Peter Dinklage, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Charles Dance, , Liam Cunningham, , Jack Gleeson, , Richard Madden, , Sophie Turner, , Maisie Williams, , Stephen Dillane, , Carice van Houten, , Natalie Dormer, , Jerome Flynn, , Rory McCann, , Gethin Anthony, , Nicholas Blane"
", Peter Dinklage, , Lena Headey, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Charles Dance, , Liam Cunningham, , Alfie Allen, , John Bradley, , Isaac Hempstead Wright, , Maisie Williams, , Stephen Dillane, , Natalie Dormer, , James Cosmo, , Jerome Flynn, , Donald Sumpter"
", Peter Dinklage, , Lena Headey, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Kit Harington, , Charles Dance, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Jack Gleeson, , Sibel Kekilli, , Rory McCann, , Donald Sumpter, , Ron Donachie, , Natalia Tena"
", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Iain Glen, , Kit Harington, , Charles Dance, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Sibel Kekilli, , Rory McCann, , Donald Sumpter, , Ian Hanmore, , Nicholas Blane"
", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Iain Glen, , Kit Harington, , Charles Dance, , Liam Cunningham, , Jack Gleeson, , Isaac Hempstead Wright, , Richard Madden, , Maisie Williams, , Alfie Allen, , John Bradley, , Stephen Dillane, , Sibel Kekilli, , Jerome Flynn"
", Peter Dinklage, , Lena Headey, , Charles Dance, , Liam Cunningham, , Jack Gleeson, , Sophie Turner, , Rory McCann, , Stephen Dillane, , Jerome Flynn, , Conleth Hill, , Sibel Kekilli, , Roy Dotrice, , Julian Glover, , Eugene Simon, , Kerr Logan, , Finn Jones, , Sahara Knite, , Tony Way"
", Peter Dinklage, , Lena Headey, , Nikolaj Coster-Waldau, , Michelle Fairley, , Emilia Clarke, , Aidan Gillen, , Iain Glen, , Kit Harington, , Charles Dance, , Isaac Hempstead Wright, , Richard Madden, , Sophie Turner, , Maisie Williams, , Alfie Allen, , John Bradley, , Jack Gleeson, , Natalie Dormer, , Stephen Dillane"
", Peter Dinklage, , Lena Headey, , Emilia Clarke, , Kit Harington, , Richard Madden, , Iain Glen, , Michelle Fairley, , Aidan Gillen, , Charles Dance, , Liam Cunningham, , Stephen Dillane, , Carice van Houten, , Natalie Dormer, , John Bradley, , Jack Gleeson, , Sophie Turner, , Oona Chaplin, , Sibel Kekilli"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Kit Harington, , Richard Madden, , Michelle Fairley, , Natalie Dormer, , Isaac Hempstead Wright, , Jack Gleeson, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Oona Chaplin, , Joe Dempsie, , Rose Leslie, , John Bradley, , James Cosmo, , Sibel Kekilli"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Richard Madden, , Iain Glen, , Michelle Fairley, , Aidan Gillen, , Charles Dance, , Stephen Dillane, , Carice van Houten, , Alfie Allen, , John Bradley, , Maisie Williams, , Oona Chaplin, , Joe Dempsie, , Rose Leslie"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Iain Glen, , Michelle Fairley, , Charles Dance, , Natalie Dormer, , Alfie Allen, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , John Bradley, , Joe Dempsie, , Jack Gleeson, , Rory McCann, , Conleth Hill, , James Cosmo"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Richard Madden, , Iain Glen, , Michelle Fairley, , Aidan Gillen, , Charles Dance, , Liam Cunningham, , Stephen Dillane, , Natalie Dormer, , Oona Chaplin, , Sophie Turner, , Maisie Williams, , Joe Dempsie, , Rose Leslie"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Kit Harington, , Richard Madden, , Michelle Fairley, , Aidan Gillen, , Charles Dance, , Carice van Houten, , Alfie Allen, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , John Bradley, , Joe Dempsie, , Jack Gleeson, , Rose Leslie, , Conleth Hill"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Emilia Clarke, , Kit Harington, , Richard Madden, , Iain Glen, , Michelle Fairley, , Charles Dance, , Natalie Dormer, , Carice van Houten, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Oona Chaplin, , Jack Gleeson, , Joe Dempsie, , Sibel Kekilli"
", Peter Dinklage, , Lena Headey, , Emilia Clarke, , Iain Glen, , Charles Dance, , Liam Cunningham, , Stephen Dillane, , Carice van Houten, , Natalie Dormer, , Jack Gleeson, , Sophie Turner, , Maisie Williams, , John Bradley, , Joe Dempsie, , Sibel Kekilli, , Rory McCann, , Conleth Hill, , Jerome Flynn"
", Emilia Clarke, , Kit Harington, , Richard Madden, , Iain Glen, , Michelle Fairley, , John Bradley, , Isaac Hempstead Wright, , Maisie Williams, , Oona Chaplin, , Rose Leslie, , Rory McCann, , David Bradley, , Mackenzie Crook, , Michael McElhatton, , Ian McElhinney, , Clive Russell, , Tobias Menzies, , Kristofer Hivju"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Iain Glen, , Charles Dance, , Liam Cunningham, , Stephen Dillane, , Carice van Houten, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , Alfie Allen, , Jack Gleeson, , Rose Leslie, , John Bradley, , Joe Dempsie"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Charles Dance, , Natalie Dormer, , Jack Gleeson, , Sophie Turner, , Maisie Williams, , John Bradley, , Rose Leslie, , Kristofer Hivju, , Rory McCann, , Gwendoline Christie, , Jerome Flynn, , Sibel Kekilli, , Iain Glen"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Charles Dance, , Natalie Dormer, , Liam Cunningham, , Stephen Dillane, , Carice van Houten, , Alfie Allen, , Jack Gleeson, , Isaac Hempstead Wright, , Sophie Turner, , Gwendoline Christie, , Sibel Kekilli, , Iwan Rheon, , Conleth Hill, , Jerome Flynn, , Diana Rigg"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Charles Dance, , Natalie Dormer, , Liam Cunningham, , Stephen Dillane, , Jack Gleeson, , Sophie Turner, , Maisie Williams, , Rory McCann, , John Bradley, , Rose Leslie, , Kristofer Hivju, , Hannah Murray"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Natalie Dormer, , John Bradley, , Isaac Hempstead Wright, , Sophie Turner, , Gwendoline Christie, , Jerome Flynn, , Iain Glen, , Diana Rigg, , Michiel Huisman, , Ian McElhinney, , Owen Teale, , Burn Gorman"
", Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Charles Dance, , Natalie Dormer, , Isaac Hempstead Wright, , Sophie Turner, , Maisie Williams, , Rory McCann, , Gwendoline Christie, , Conleth Hill, , Iain Glen, , Pedro Pascal, , Michiel Huisman, , Burn Gorman, , Kate Dickie"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Charles Dance, , Natalie Dormer, , Liam Cunningham, , Stephen Dillane, , Alfie Allen, , Iwan Rheon, , Conleth Hill, , Sibel Kekilli, , Iain Glen, , Pedro Pascal, , Julian Glover, , Ian McElhinney, , Mark Gatiss, , Roger Ashton-Griffiths"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Carice van Houten, , John Bradley, , Sophie Turner, , Maisie Williams, , Rory McCann, , Gwendoline Christie, , Jerome Flynn, , Iain Glen, , Pedro Pascal, , Michiel Huisman, , Owen Teale, , Tara Fitzgerald"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Charles Dance, , Alfie Allen, , John Bradley, , Sophie Turner, , Maisie Williams, , Rose Leslie, , Kristofer Hivju, , Hannah Murray, , Iwan Rheon, , Conleth Hill, , Rory McCann, , Iain Glen"
", Kit Harington, , John Bradley, , Hannah Murray, , Rose Leslie, , Kristofer Hivju, , Peter Vaughan, , Owen Teale, , Dominic Carter, , Mark Stanley, , Ben Crompton, , Yuri Kolokolnikov, , Josef Altin, , Brenock O'Connor, , Joseph Gatt, , Ian Whyte, , Neil Fingleton, , Joe Claflin, , Graham Gill"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Charles Dance, , Liam Cunningham, , Stephen Dillane, , Carice van Houten, , John Bradley, , Isaac Hempstead Wright, , Maisie Williams, , Rory McCann, , Rose Leslie, , Kristofer Hivju, , Gwendoline Christie, , Conleth Hill, , Sibel Kekilli"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Charles Dance, , Natalie Dormer, , Stephen Dillane, , Liam Cunningham, , Carice van Houten, , John Bradley, , Sophie Turner, , Kristofer Hivju, , Hannah Murray, , Conleth Hill, , Gwendoline Christie, , Michiel Huisman"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Stephen Dillane, , Liam Cunningham, , Indira Varma, , Maisie Williams, , Sophie Turner, , Conleth Hill, , Jerome Flynn, , John Bradley, , Hannah Murray, , Gwendoline Christie, , Nathalie Emmanuel, , Michiel Huisman"
", Peter Dinklage, , Lena Headey, , Kit Harington, , Aidan Gillen, , Natalie Dormer, , Stephen Dillane, , Liam Cunningham, , Conleth Hill, , Alfie Allen, , Sophie Turner, , Maisie Williams, , John Bradley, , Gwendoline Christie, , Dean-Charles Chapman, , Tom Wlaschiha, , Michael McElhatton, , Iwan Rheon, , Iain Glen"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Natalie Dormer, , Stephen Dillane, , Carice van Houten, , Indira Varma, , John Bradley, , Sophie Turner, , Jerome Flynn, , Michiel Huisman, , Nathalie Emmanuel, , Dean-Charles Chapman, , Iain Glen, , Jonathan Pryce"
", Peter Dinklage, , Emilia Clarke, , Kit Harington, , Stephen Dillane, , Liam Cunningham, , Carice van Houten, , Alfie Allen, , John Bradley, , Sophie Turner, , Hannah Murray, , Michiel Huisman, , Nathalie Emmanuel, , Gwendoline Christie, , Kristofer Hivju, , Michael McElhatton, , Iwan Rheon, , Iain Glen, , Ian McElhinney"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Aidan Gillen, , Natalie Dormer, , Indira Varma, , Maisie Williams, , Sophie Turner, , Jerome Flynn, , Alfie Allen, , Michael McElhatton, , Iwan Rheon, , Tom Wlaschiha, , Dean-Charles Chapman, , Iain Glen, , Diana Rigg, , Jonathan Pryce, , Alexander Siddig"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Natalie Dormer, , Stephen Dillane, , Liam Cunningham, , Carice van Houten, , John Bradley, , Kristofer Hivju, , Hannah Murray, , Dean-Charles Chapman, , Alfie Allen, , Sophie Turner, , Iwan Rheon, , Gwendoline Christie"
", Peter Dinklage, , Lena Headey, , Emilia Clarke, , Kit Harington, , Sophie Turner, , Maisie Williams, , John Bradley, , Hannah Murray, , Kristofer Hivju, , Alfie Allen, , Nathalie Emmanuel, , Tom Wlaschiha, , Michael McElhatton, , Iwan Rheon, , Iain Glen, , Anton Lesser, , Ben Crompton, , Faye Marsay"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Emilia Clarke, , Kit Harington, , Stephen Dillane, , Liam Cunningham, , Carice van Houten, , Indira Varma, , Maisie Williams, , Jerome Flynn, , John Bradley, , Kristofer Hivju, , Tom Wlaschiha, , Michiel Huisman, , Nathalie Emmanuel, , Iain Glen, , Owen Teale, , Tara Fitzgerald"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Stephen Dillane, , Liam Cunningham, , Carice van Houten, , Indira Varma, , Maisie Williams, , Sophie Turner, , John Bradley, , Hannah Murray, , Nathalie Emmanuel, , Michiel Huisman, , Conleth Hill, , Jerome Flynn, , Alfie Allen"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Liam Cunningham, , Carice van Houten, , Natalie Dormer, , Indira Varma, , Sophie Turner, , Maisie Williams, , Conleth Hill, , Alfie Allen, , Gwendoline Christie, , Jonathan Pryce, , Michiel Huisman, , Michael McElhatton, , Iwan Rheon"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Kit Harington, , Liam Cunningham, , Carice van Houten, , Sophie Turner, , Nathalie Emmanuel, , Maisie Williams, , Conleth Hill, , Jonathan Pryce, , Kristofer Hivju, , Alfie Allen, , Tom Wlaschiha, , Iwan Rheon, , Michael McElhatton, , Gwendoline Christie, , Dean-Charles Chapman"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Liam Cunningham, , Carice van Houten, , Nathalie Emmanuel, , Maisie Williams, , Conleth Hill, , Kristofer Hivju, , Isaac Hempstead Wright, , John Bradley, , Iwan Rheon, , Jonathan Pryce, , Dean-Charles Chapman, , Hannah Murray, , Tom Wlaschiha"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Natalie Dormer, , Aidan Gillen, , Liam Cunningham, , Carice van Houten, , Sophie Turner, , Nathalie Emmanuel, , Conleth Hill, , Kristofer Hivju, , Jonathan Pryce, , Michiel Huisman, , Dean-Charles Chapman, , Iwan Rheon, , Gwendoline Christie"
", Peter Dinklage, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Carice van Houten, , Sophie Turner, , Nathalie Emmanuel, , Maisie Williams, , Conleth Hill, , Isaac Hempstead Wright, , Kristofer Hivju, , Alfie Allen, , Michiel Huisman, , Gwendoline Christie, , Tom Wlaschiha, , Iain Glen, , Max von Sydow"
", Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Natalie Dormer, , Maisie Williams, , Jonathan Pryce, , John Bradley, , Isaac Hempstead Wright, , Michiel Huisman, , Tom Wlaschiha, , Dean-Charles Chapman, , Hannah Murray, , Diana Rigg, , Richard E. Grant, , David Bradley, , Essie Davis, , Joseph Mawle, , Tobias Menzies"
", Nikolaj Coster-Waldau, , Lena Headey, , Kit Harington, , Natalie Dormer, , Liam Cunningham, , Sophie Turner, , Rory McCann, , Maisie Williams, , Jonathan Pryce, , Kristofer Hivju, , Jerome Flynn, , Alfie Allen, , Ian McShane, , Diana Rigg, , Clive Russell, , Tobias Menzies, , Gemma Whelan, , Faye Marsay"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Nathalie Emmanuel, , Maisie Williams, , Conleth Hill, , Rory McCann, , Jerome Flynn, , Gwendoline Christie, , Tom Wlaschiha, , Dean-Charles Chapman, , Richard E. Grant, , Essie Davis, , Julian Glover, , Anton Lesser, , Ian Gelder, , Faye Marsay"
", Peter Dinklage, , Kit Harington, , Emilia Clarke, , Liam Cunningham, , Sophie Turner, , Aidan Gillen, , Carice van Houten, , Nathalie Emmanuel, , Kristofer Hivju, , Iwan Rheon, , Alfie Allen, , Michiel Huisman, , Jacob Anderson, , Gemma Whelan, , Ian Whyte, , Enzo Cilenti, , Paul Rattray, , Dean Jagger"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Kit Harington, , Emilia Clarke, , Natalie Dormer, , Liam Cunningham, , Sophie Turner, , Aidan Gillen, , Carice van Houten, , Nathalie Emmanuel, , Indira Varma, , Maisie Williams, , Jonathan Pryce, , Conleth Hill, , Dean-Charles Chapman, , Kristofer Hivju, , John Bradley"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Sophie Turner, , Maisie Williams, , Nathalie Emmanuel, , Gwendoline Christie, , Conleth Hill, , John Bradley, , Isaac Hempstead Wright, , Hannah Murray, , Kristofer Hivju, , Rory McCann, , Iain Glen"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Sophie Turner, , Maisie Williams, , Carice van Houten, , Nathalie Emmanuel, , Indira Varma, , Alfie Allen, , John Bradley, , Gwendoline Christie, , Conleth Hill, , Iain Glen, , Diana Rigg"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Carice van Houten, , Sophie Turner, , Nathalie Emmanuel, , Indira Varma, , Alfie Allen, , John Bradley, , Isaac Hempstead Wright, , Conleth Hill, , Jerome Flynn, , Iain Glen, , Diana Rigg"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Sophie Turner, , Maisie Williams, , Nathalie Emmanuel, , Conleth Hill, , Jerome Flynn, , Alfie Allen, , Gwendoline Christie, , Isaac Hempstead Wright, , James Faulkner, , Tom Hopper, , Ellie Kendrick"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Sophie Turner, , Maisie Williams, , Conleth Hill, , Rory McCann, , Isaac Hempstead Wright, , Jerome Flynn, , John Bradley, , Hannah Murray, , Kristofer Hivju, , Joe Dempsie, , Iain Glen"
", Peter Dinklage, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Sophie Turner, , Maisie Williams, , Gwendoline Christie, , Rory McCann, , Kristofer Hivju, , Joe Dempsie, , Iain Glen, , Richard Dormer, , Paul Kaye, , Joseph Mawle, , Richard Rycroft, , Michael Byrch, , Dan Euston"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Aidan Gillen, , Liam Cunningham, , Sophie Turner, , Maisie Williams, , Nathalie Emmanuel, , Alfie Allen, , John Bradley, , Isaac Hempstead Wright, , Conleth Hill, , Jerome Flynn, , Gwendoline Christie, , Rory McCann, , Kristofer Hivju"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Sophie Turner, , Maisie Williams, , Liam Cunningham, , Nathalie Emmanuel, , Alfie Allen, , John Bradley, , Isaac Hempstead Wright, , Gwendoline Christie, , Conleth Hill, , Rory McCann, , Jerome Flynn, , Kristofer Hivju, , Joe Dempsie"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Emilia Clarke, , Kit Harington, , Sophie Turner, , Maisie Williams, , Liam Cunningham, , Nathalie Emmanuel, , Alfie Allen, , Joe Dempsie, , Isaac Hempstead Wright, , John Bradley, , Hannah Murray, , Gwendoline Christie, , Conleth Hill, , Rory McCann, , Kristofer Hivju, , Jacob Anderson"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Emilia Clarke, , Kit Harington, , Sophie Turner, , Maisie Williams, , Liam Cunningham, , Carice van Houten, , Nathalie Emmanuel, , Alfie Allen, , Isaac Hempstead Wright, , John Bradley, , Hannah Murray, , Gwendoline Christie, , Conleth Hill, , Rory McCann, , Kristofer Hivju, , Joe Dempsie"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Sophie Turner, , Maisie Williams, , Liam Cunningham, , Nathalie Emmanuel, , Alfie Allen, , Isaac Hempstead Wright, , Gwendoline Christie, , Conleth Hill, , John Bradley, , Hannah Murray, , Rory McCann, , Jerome Flynn, , Kristofer Hivju"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Maisie Williams, , Liam Cunningham, , Conleth Hill, , Rory McCann, , Jacob Anderson, , Pilou Asbæk, , Anton Lesser, , Hafþór Júlíus Björnsson, , Laura Elphinstone, , Marc Rissmann, , Alexis Raben, , Matthew Wolf, , Bronte Carmichael"
", Peter Dinklage, , Nikolaj Coster-Waldau, , Lena Headey, , Emilia Clarke, , Kit Harington, , Sophie Turner, , Maisie Williams, , Liam Cunningham, , John Bradley, , Isaac Hempstead Wright, , Gwendoline Christie, , Jerome Flynn, , Kristofer Hivju, , Joe Dempsie, , Jacob Anderson, , Gemma Whelan, , Tobias Menzies, , Daniel Portman"
